@timestamp,price,uid
2021/4/11 23:59,48,94244483
2021/4/11 23:58,8,94228493
2021/4/11 23:58,200,94244423
2021/4/11 23:57,48,94244423
2021/4/11 23:56,48,94243723
2021/4/11 23:55,48,89474063
2021/4/11 23:53,48,42161303
2021/4/11 23:53,48,93791023
2021/4/11 23:53,240,94236253
2021/4/11 23:52,544,16215983
2021/4/11 23:52,240,93579103
2021/4/11 23:52,200,94236253
2021/4/11 23:51,1024,94218343
2021/4/11 23:51,1024,82957553
2021/4/11 23:50,240,91196863
2021/4/11 23:47,8,5934353
2021/4/11 23:46,48,93611703
2021/4/11 23:40,8,93628443
2021/4/11 23:39,2624,6576763
2021/4/11 23:38,200,93473413
2021/4/11 23:38,2624,6576763
2021/4/11 23:37,48,41949353
2021/4/11 23:36,200,51139443
2021/4/11 23:36,48,85989603
2021/4/11 23:36,48,94202623
2021/4/11 23:35,48,41949353
2021/4/11 23:35,48,94241353
2021/4/11 23:34,240,41949353
2021/4/11 23:34,240,41949353
2021/4/11 23:33,48,91282393
2021/4/11 23:33,48,94242723
2021/4/11 23:33,240,91977823
2021/4/11 23:33,200,94242723
2021/4/11 23:32,240,94036873
2021/4/11 23:31,48,93578903
2021/4/11 23:31,240,91196863
2021/4/11 23:31,240,93578903
2021/4/11 23:29,240,34285503
2021/4/11 23:27,48,92858163
2021/4/11 23:27,48,80260423
2021/4/11 23:27,240,24299563
2021/4/11 23:26,200,94135693
2021/4/11 23:24,48,41949353
2021/4/11 23:24,48,94135693
2021/4/11 23:23,48,91196863
2021/4/11 23:23,240,91196863
2021/4/11 23:23,8,93807803
2021/4/11 23:23,8,92885173
2021/4/11 23:22,48,24299563
2021/4/11 23:22,240,90584303
2021/4/11 23:22,240,92327773
2021/4/11 23:21,48,85499493
2021/4/11 23:21,48,85499493
2021/4/11 23:20,48,24299563
2021/4/11 23:20,48,94231513
2021/4/11 23:19,8,93612023
2021/4/11 23:17,8,92305973
2021/4/11 23:17,544,93807803
2021/4/11 23:17,8,92305973
2021/4/11 23:17,48,82246743
2021/4/11 23:16,240,94224683
2021/4/11 23:16,48,89932623
2021/4/11 23:16,48,82246743
2021/4/11 23:16,48,91196863
2021/4/11 23:16,240,92305973
2021/4/11 23:16,8,1248083
2021/4/11 23:15,48,91196863
2021/4/11 23:15,240,1248083
2021/4/11 23:15,48,91196863
2021/4/11 23:15,8,90351513
2021/4/11 23:14,8,40072213
2021/4/11 23:13,48,82861403
2021/4/11 23:13,48,94241483
2021/4/11 23:12,240,94237093
2021/4/11 23:12,240,94226033
2021/4/11 23:12,8,90325943
2021/4/11 23:10,48,91181163
2021/4/11 23:09,240,91196863
2021/4/11 23:08,48,85968753
2021/4/11 23:08,48,42180253
2021/4/11 23:05,48,40383463
2021/4/11 23:05,48,94239513
2021/4/11 23:05,544,42485423
2021/4/11 23:05,48,94239513
2021/4/11 23:04,240,94239513
2021/4/11 23:04,240,94237273
2021/4/11 23:04,48,94239513
2021/4/11 23:04,200,94239513
2021/4/11 23:04,1584,94239513
2021/4/11 23:03,48,94237273
2021/4/11 23:03,200,94237273
2021/4/11 23:02,8,91686223
2021/4/11 23:02,8,91927363
2021/4/11 23:01,240,94239513
2021/4/11 23:01,8,91927363
2021/4/11 23:01,8,93055043
2021/4/11 23:00,240,79978183
2021/4/11 23:00,544,94116793
2021/4/11 22:59,48,91768563
2021/4/11 22:57,8,93925073
2021/4/11 22:57,48,93883713
2021/4/11 22:57,240,82419653
2021/4/11 22:56,544,82419653
2021/4/11 22:56,240,92591393
2021/4/11 22:55,8,93976543
2021/4/11 22:55,48,94226203
2021/4/11 22:55,240,94239513
2021/4/11 22:55,8,26497203
2021/4/11 22:54,8,93611083
2021/4/11 22:54,8,93611083
2021/4/11 22:54,48,92222193
2021/4/11 22:54,48,89942763
2021/4/11 22:53,48,91031193
2021/4/11 22:51,48,9409743
2021/4/11 22:51,48,91031193
2021/4/11 22:50,48,56074853
2021/4/11 22:49,48,89020623
2021/4/11 22:49,240,94235253
2021/4/11 22:49,48,9409743
2021/4/11 22:49,48,9409743
2021/4/11 22:48,48,94152073
2021/4/11 22:47,48,56074853
2021/4/11 22:46,48,91977853
2021/4/11 22:44,48,1064543
2021/4/11 22:42,240,94050863
2021/4/11 22:42,544,89499613
2021/4/11 22:41,48,91474033
2021/4/11 22:41,544,94135453
2021/4/11 22:38,200,91196863
2021/4/11 22:38,8,92264323
2021/4/11 22:38,240,94205233
2021/4/11 22:38,240,92863953
2021/4/11 22:37,240,93630383
2021/4/11 22:35,48,93108043
2021/4/11 22:35,8,94232703
2021/4/11 22:35,200,93108043
2021/4/11 22:31,240,3785153
2021/4/11 22:31,48,83618973
2021/4/11 22:30,8,90654803
2021/4/11 22:30,8,90654803
2021/4/11 22:29,8,90654803
2021/4/11 22:29,48,77374623
2021/4/11 22:29,8,90654803
2021/4/11 22:28,200,77374623
2021/4/11 22:28,8,90654803
2021/4/11 22:28,8,90654803
2021/4/11 22:27,240,94235323
2021/4/11 22:27,240,90654803
2021/4/11 22:27,48,88144363
2021/4/11 22:27,48,88144363
2021/4/11 22:26,48,94135453
2021/4/11 22:25,48,93807803
2021/4/11 22:25,240,94235753
2021/4/11 22:25,240,94230633
2021/4/11 22:24,8,88486293
2021/4/11 22:24,48,94135453
2021/4/11 22:24,8,88486293
2021/4/11 22:23,48,88486293
2021/4/11 22:23,48,94135453
2021/4/11 22:23,48,94235753
2021/4/11 22:23,240,94135453
2021/4/11 22:21,48,93124313
2021/4/11 22:21,48,94230223
2021/4/11 22:21,8,74121473
2021/4/11 22:20,200,93283443
2021/4/11 22:19,48,94230593
2021/4/11 22:17,240,1248083
2021/4/11 22:17,48,52081263
2021/4/11 22:17,1024,22882173
2021/4/11 22:17,240,8903433
